"Method","Toolchain","TaskNum","Mean"
"TaskCompletedTask",".NET Core 2.0","1","380.8 ns"
"TaskCompletedTask",".NET Core 2.1","1","343.2 ns"
"TaskCompletedTask",".NET Core 2.0","10","740.3 ns"
"TaskCompletedTask",".NET Core 2.1","10","682.6 ns"
"TaskCompletedTask",".NET Core 2.0","100","3,736.7 ns"
"TaskCompletedTask",".NET Core 2.1","100","3,551.0 ns"
"TaskCompletedTaskQueue",".NET Core 2.0","1","146,255.0 ns"
"TaskCompletedTaskQueue",".NET Core 2.1","1","154,224.7 ns"
"TaskCompletedTaskQueue",".NET Core 2.0","10","1,510,740.6 ns"
"TaskCompletedTaskQueue",".NET Core 2.1","10","1,616,248.8 ns"
"TaskCompletedTaskQueue",".NET Core 2.0","100","16,514,585.9 ns"
"TaskCompletedTaskQueue",".NET Core 2.1","100","16,002,552.8 ns"
"TaskYield",".NET Core 2.0","1","2,241.1 ns"
"TaskYield",".NET Core 2.1","1","1,745.5 ns"
"TaskYield",".NET Core 2.0","10","7,523.3 ns"
"TaskYield",".NET Core 2.1","10","6,911.2 ns"
"TaskYield",".NET Core 2.0","100","65,878.0 ns"
"TaskYield",".NET Core 2.1","100","61,800.2 ns"
"TaskYieldQueue",".NET Core 2.0","1","167,983.8 ns"
"TaskYieldQueue",".NET Core 2.1","1","164,078.1 ns"
"TaskYieldQueue",".NET Core 2.0","10","47,629,539.8 ns"
"TaskYieldQueue",".NET Core 2.1","10","109,910,750.3 ns"
"TaskYieldQueue",".NET Core 2.0","100","85,907,939.0 ns"
"TaskYieldQueue",".NET Core 2.1","100","132,993,820.1 ns"
